DepressionID	MaximumArea	MaximumVolume	MaximumDepth	MinimumContributingArea	CurveNumber
29814	4806	940.68	0.41	25497	100
29869	3429	438.48	0.31	13869	100
29876	1017	93.96	0.2	7137	100
29880	17424	3650.94	0.6	88083	100
29897	208035	80695.8	0.81	726201	100
29924	4050	727.11	0.41	41454	100
29939	10458	2486.25	0.56	40554	100
29943	8856	886.14	0.37	50661	100
29946	7416	801.81	0.27	64242	100
29950	16857	5989.41	0.74	56214	100
29951	540	40.59	0.28	5382	100
29957	1422	149.49	0.22	19683	100
29964	6957	1999.53	0.64	22014	100
29967	13401	4023.63	0.46	54999	100
29968	927	79.74	0.24	21222	100
29970	2574	232.11	0.24	11736	100
29975	1719	153.27	0.19	13680	100
29976	2007	239.58	0.25	37701	100
29981	56637	12706.02	0.51	357894	100
29991	4986	1059.03	0.41	13752	100
30000	2466	265.05	0.23	44370	100
30002	2259	178.11	0.19	13869	100
30011	10008	3305.97	0.69	21447	100
30012	58932	25536.6	0.84	192879	100
30016	2583	322.92	0.27	13365	100
30018	24471	6279.21	0.46	120726	100
30019	13464	1797.57	0.31	94635	100
30024	19620	9446.31	1.11	111015	100
30025	2484	356.31	0.33	12366	100
30032	1773	244.8	0.3	8919	100
30048	3789	395.19	0.28	61839	100
30051	39870	8050.68	0.66	116541	100
30062	18117	1676.88	0.25	752634	100
30075	2790	314.91	0.26	29223	100
30076	31653	15871.14	0.91	98352	100
30082	3474	565.92	0.38	20178	100
30090	44109	14781.33	0.71	238446	100
30092	17289	3444.03	0.59	84105	100
30099	11736	538.11	0.26	122265	100
30100	5400	437.94	0.28	52119	100
30105	3357	196.92	0.2	16560	100
30106	6561	1217.43	0.46	37971	100
30109	4914	902.88	0.42	20718	100
30119	23481	1072.26	0.26	210906	100
30120	3807	447.12	0.3	26487	100
30121	2133	191.34	0.41	33282	100
30124	6048	1238.76	0.45	23976	100
30127	5994	1496.79	0.52	21636	100
30128	6201	386.01	0.2	36207	100
30129	7659	1988.1	0.52	24264	100
30131	8037	2786.13	0.76	26136	100
30133	792	61.2	0.25	10314	100
30136	2916	379.53	0.37	10872	100
30137	4239	788.58	0.51	22167	100
30138	2034	213.75	0.27	7164	100
30139	21501	7487.82	0.75	88776	100
30140	1719	249.48	0.34	9855	100
30143	6399	1721.07	0.57	18144	100
30145	2907	243.27	0.2	8577	100
30146	3411	675.81	0.43	14769	100
30154	3753	419.22	0.23	30600	100
30155	7920	1577.61	0.55	22923	100
30156	61047	29210.13	0.93	185463	100
