DepressionID	CatchmentID
29814	29814
29814	29897
29869	29869
29869	29897
29876	29876
29876	30197
29880	29880
29880	29897
29897	29897
29897	30197
29924	29924
29924	30197
29939	29939
29939	30197
29943	29943
29943	29951
29946	29946
29946	29981
29950	29950
29950	30197
29951	29951
29951	29967
29957	29943
29957	29957
29964	29964
29964	30197
29967	29967
29967	30012
29968	29968
29968	30019
29970	29970
29970	30000
29975	29975
29975	30197
29976	29981
29976	29976
29981	29981
29981	166908
29991	29976
29991	29991
30000	30000
30000	30197
30002	30002
30002	166908
30011	30011
30011	166908
30012	30012
30012	30197
30016	30016
30016	30051
30018	29976
30018	30018
30019	30019
30019	30062
30024	30024
30024	30051
30025	30025
30025	30197
30032	30032
30032	30062
30048	30048
30048	30197
30051	30051
30051	30062
30062	30062
30062	166908
30075	30075
30075	30062
30076	30076
30076	30197
30082	30082
30082	30062
30090	30076
30090	30090
30092	30092
30092	30062
30099	30099
30099	166908
30100	30100
30100	30062
30105	30105
30105	30119
30106	30090
30106	30106
30109	30109
30109	30197
30119	30062
30119	30119
30120	30099
30120	30120
30121	30100
30121	30121
30124	30119
30124	30124
30127	30099
30127	30127
30128	30099
30128	30128
30129	30062
30129	30129
30131	30129
30131	30131
30133	30133
30133	30197
30136	30138
30136	30136
30137	30137
30137	30156
30138	30138
30138	30199
30139	30139
30139	30169
30140	30140
30140	30199
30143	30119
30143	30143
30145	30128
30145	30145
30145	30158
30146	30139
30146	30146
30154	30154
30154	30157
30155	30155
30155	30159
30156	30156
30156	30197
30157	30105
30157	30157
30158	30158
30158	30196
30159	30159
30159	30176
30160	30160
30160	30188
30163	30163
30163	30181
30169	30156
30169	30169
30171	30171
30171	30188
30174	30174
30174	166908
30176	30176
30176	30181
30181	30181
30181	30196
30187	30187
30187	30201
30188	30169
30188	30188
30189	30189
30189	30188
30190	30190
30190	30212
30196	30196
30196	30212
30197	30119
30197	30197
30199	30196
30199	30199
30201	30197
30201	30201
30203	30203
30203	30225
30204	30188
30204	30204
30209	30209
30209	117064
30211	30211
30211	30212
30212	30212
30212	30231
30217	30217
30217	30280
30225	30225
30225	30231
30231	30231
30231	30258
30232	30225
30232	30232
30238	30231
30238	30238
30241	30232
30241	30241
30248	30238
30248	30248
30254	30254
30254	30258
30258	30258
30258	166435
30264	30264
30264	30276
30265	30258
30265	30265
30276	30276
30276	30382
30277	30277
30277	30290
30279	30279
30279	166435
30280	30280
30280	30382
30283	30283
30283	30287
30287	30287
30287	166435
30288	30288
30288	30382
30289	30258
30289	30289
30290	30290
30290	30299
30294	30294
30294	30382
30299	30299
30299	30330
30300	30300
30300	30323
30303	30303
30303	166435
30310	30310
30310	30318
30318	30318
30318	30382
30323	30289
30323	30287
30323	30323
30330	30323
30330	30330
30337	30330
30337	30337
30339	30337
30339	30339
30343	30343
30343	30358
30344	30339
30344	30344
30346	30346
30346	30358
30352	30352
30352	30382
30354	30354
30354	166435
30358	30337
30358	30358
30365	30365
30365	30370
30368	30368
30368	30382
30370	30370
30370	166435
30372	30372
30372	30420
30376	30376
30376	30382
30378	30378
30378	166435
30381	30381
30381	30382
30382	30339
30382	30382
30385	30378
30385	30385
30387	30388
30387	30387
30388	30388
30388	30382
30390	166435
30390	30390
30391	30378
30391	166435
30391	30391
30392	30391
30392	30392
30392	30385
30397	30358
30397	30397
30398	30398
30398	30390
30399	30399
30399	30387
30400	30378
30400	30400
30402	30400
30402	30402
30403	30403
30403	30413
30405	30397
30405	30405
30407	30407
30407	30385
30408	30405
30408	30408
30411	30411
30411	30475
30413	30408
30413	30413
30420	30390
30420	30420
30423	30397
30423	30423
30431	30431
30431	30445
30435	30385
30435	30435
30436	30436
30436	30468
30443	30443
30443	30468
30445	30443
30445	30445
30454	30454
30454	30468
30457	30423
30457	30457
30466	30466
30466	30492
30468	30397
30468	30468
30475	30391
30475	30475
30479	30479
30479	30492
30482	30468
30482	30482
30487	30487
30487	30532
30492	30475
30492	30492
30493	30479
30493	30493
30497	30468
30497	30497
30499	30499
30499	30492
30500	30500
30500	30493
30501	30493
30501	30501
30502	30502
30502	30500
30508	30499
30508	30508
30510	30502
30510	30510
30511	30511
30511	30534
30512	30510
30512	30512
30513	30510
30513	30513
30517	30517
30517	30532
30519	30512
30519	30519
30522	30499
30522	30522
30523	30492
30523	30523
30524	30523
30524	30524
30525	30517
30525	30525
30526	30526
30526	30532
30527	30527
30527	30549
30530	30522
30530	30530
30531	30536
30531	30531
30532	30482
30532	30532
30534	30526
30534	30534
30536	30536
30536	30544
30544	30549
30544	30544
30549	30513
30549	30549
30550	30550
30550	30558
30552	30552
30552	30532
30553	30534
30553	30553
30555	30549
30555	30555
30558	30558
30558	30553
30563	30549
30563	30563
30564	30532
30564	30564
30566	30566
30566	30563
30567	30544
30567	30567
30571	30566
30571	30571
30575	30532
30575	30555
30575	30575
30589	30563
30589	30589
116031	116031
116031	166908
116287	116287
116287	166908
116599	116599
116599	166908
116679	116679
116679	166908
116721	116721
116721	166908
116776	116776
116776	166908
116903	116903
116903	117064
116920	116920
116920	117064
116933	116933
116933	117000
116992	116992
116992	117041
117000	117000
117041	117041
117041	117109
117064	117064
117064	166970
117109	117000
117109	117109
117124	117124
117124	117109
117262	117124
117262	117262
117379	117262
117379	117379
118120	30475
118120	118120
166435	117109
166435	166435
166437	166437
166437	166908
166908	166908
166908	166435
166970	166970
166970	166435
166971	166971
166971	166908
