	DepressionID	P
0	117000	0.05
1	116992	0.05
2	116933	0.05
3	117109	0.05
4	117041	0.05
5	117124	0.05
6	117000	0.06
7	116992	0.06
8	116933	0.06
9	117109	0.06
10	117041	0.06
11	117124	0.06
12	117000	0.07
13	116992	0.07
14	116933	0.07
15	117109	0.07
16	117041	0.07
17	117124	0.07
18	30524	0.08
19	166435	0.08
20	30508	0.08
21	30378	0.08
22	29991	0.08
23	117000	0.08
24	30519	0.08
25	30499	0.08
26	166908	0.08
27	30241	0.08
28	30530	0.08
29	30510	0.08
30	30289	0.08
31	30190	0.08
32	30343	0.08
33	30163	0.08
34	30407	0.08
35	30492	0.08
36	30258	0.08
37	30330	0.08
38	30402	0.08
39	30128	0.08
40	118120	0.08
41	30119	0.08
42	30283	0.08
43	30400	0.08
44	30287	0.08
45	30032	0.08
46	30124	0.08
47	30265	0.08
48	30479	0.08
49	30323	0.08
50	116599	0.08
51	30105	0.08
52	30174	0.08
53	30238	0.08
54	30500	0.08
55	30346	0.08
56	117041	0.08
57	116679	0.08
58	30290	0.08
59	30512	0.08
60	116287	0.08
61	30062	0.08
62	30390	0.08
63	166437	0.08
64	29976	0.08
65	30475	0.08
66	30523	0.08
67	30354	0.08
68	30120	0.08
69	30196	0.08
70	30435	0.08
71	30155	0.08
72	30051	0.08
73	116933	0.08
74	30248	0.08
75	166970	0.08
76	30358	0.08
77	30513	0.08
78	30365	0.08
79	116776	0.08
80	30127	0.08
81	116031	0.08
82	30092	0.08
83	30099	0.08
84	117109	0.08
85	166971	0.08
86	117124	0.08
87	30016	0.08
88	30121	0.08
89	30158	0.08
90	30303	0.08
91	30299	0.08
92	30254	0.08
93	30181	0.08
94	30339	0.08
95	29946	0.08
96	30231	0.08
97	30411	0.08
98	30212	0.08
99	30019	0.08
100	30502	0.08
101	30370	0.08
102	116992	0.08
103	29968	0.08
104	30466	0.08
105	30082	0.08
106	30225	0.08
107	30392	0.08
108	30176	0.08
109	30385	0.08
110	30522	0.08
111	116721	0.08
112	30493	0.08
113	30398	0.08
114	30300	0.08
115	30211	0.08
116	30145	0.08
117	30344	0.08
118	30100	0.08
119	30501	0.08
120	30232	0.08
121	30075	0.08
122	30337	0.08
123	30002	0.08
124	29981	0.08
125	30279	0.08
126	30391	0.08
127	30159	0.08
128	30018	0.08
129	30524	0.09
130	166435	0.09
131	30508	0.09
132	30378	0.09
133	29991	0.09
134	117000	0.09
135	30519	0.09
136	30499	0.09
137	166908	0.09
138	30241	0.09
139	30530	0.09
140	30510	0.09
141	30289	0.09
142	30190	0.09
143	30343	0.09
144	30163	0.09
145	30407	0.09
146	30492	0.09
147	30258	0.09
148	30330	0.09
149	30402	0.09
150	30128	0.09
151	118120	0.09
152	30119	0.09
153	30283	0.09
154	30400	0.09
155	30287	0.09
156	30032	0.09
157	30124	0.09
158	30265	0.09
159	30479	0.09
160	30323	0.09
161	116599	0.09
162	30105	0.09
163	30174	0.09
164	30238	0.09
165	30500	0.09
166	30346	0.09
167	117041	0.09
168	116679	0.09
169	30290	0.09
170	30512	0.09
171	116287	0.09
172	30062	0.09
173	30129	0.09
174	30390	0.09
175	166437	0.09
176	29976	0.09
177	30475	0.09
178	30523	0.09
179	30354	0.09
180	30120	0.09
181	30196	0.09
182	30435	0.09
183	30155	0.09
184	30051	0.09
185	116933	0.09
186	30248	0.09
187	166970	0.09
188	30358	0.09
189	30513	0.09
190	30365	0.09
191	116776	0.09
192	30127	0.09
193	116031	0.09
194	30092	0.09
195	30099	0.09
196	117109	0.09
197	166971	0.09
198	117124	0.09
199	30016	0.09
200	30121	0.09
201	30158	0.09
202	30303	0.09
203	30299	0.09
204	30254	0.09
205	30181	0.09
206	30339	0.09
207	29946	0.09
208	30231	0.09
209	30411	0.09
210	30212	0.09
211	30019	0.09
212	30502	0.09
213	30370	0.09
214	116992	0.09
215	29968	0.09
216	30466	0.09
217	30082	0.09
218	30225	0.09
219	30392	0.09
220	30176	0.09
221	30385	0.09
222	30522	0.09
223	116721	0.09
224	30493	0.09
225	30398	0.09
226	30300	0.09
227	30211	0.09
228	30145	0.09
229	30344	0.09
230	30100	0.09
231	30501	0.09
232	30232	0.09
233	30075	0.09
234	30337	0.09
235	30002	0.09
236	29981	0.09
237	30279	0.09
238	30391	0.09
239	30024	0.09
240	30159	0.09
241	30018	0.09
242	30524	0.1
243	166435	0.1
244	30508	0.1
245	30303	0.1
246	29991	0.1
247	117000	0.1
248	30519	0.1
249	30499	0.1
250	166908	0.1
251	30241	0.1
252	30530	0.1
253	30423	0.1
254	30289	0.1
255	30190	0.1
256	30181	0.1
257	30163	0.1
258	30407	0.1
259	30019	0.1
260	30258	0.1
261	30330	0.1
262	30402	0.1
263	30128	0.1
264	30199	0.1
