DepressionID	Ac	Am	Nds	Ndsds	Nus	Nuscd	OutletID	Sdus	Shrn	Strn	USAc	USVm	Vm	p0.001	p0.01	p0.02	p0.03	p0.04	p0.05	p0.06	p0.07	p0.08	p0.09	p0.1	p0.11	p0.12	p0.13	p0.14	p0.15	p0.16	p0.17	p0.18	p0.19	p0.2	p0.21	p0.22	p0.23	p0.24	p0.25	p0.26	p0.27	p0.28	p0.29	p0.3	p0.31	p0.32	p0.33	p0.34	p0.35	p0.36	p0.37	p0.38	p0.39	p0.4	p0.41	p0.42	p0.43	p0.44	p0.45	p0.46	p0.47	p0.48	p0.49	p0.5	p0.51	p0.52	p0.53	p0.54	p0.55	p0.56	p0.57	p0.58	p0.59
30209	14517	2898	1	5	0	0	[117000]	0.0	1	1	0.0	0.0	351.27	0.0	0.0	0.0	84.24	229.41	374.58	519.75	664.92	810.09	955.26	1100.43	1245.6	1390.77	1535.94	1681.11	1826.28	1971.45	2116.62	2261.79	2406.96	2552.13	2697.3	2842.47	2987.64	3132.81	3277.98	3423.15	3568.32	3713.49	3858.66	4003.83	4149.0	4294.17	4439.34	4584.51	4729.68	4874.85	5020.02	5165.19	5310.36	5455.53	5600.7	5745.87	5891.04	6036.21	6181.38	6326.55	6471.72	6616.89	6762.06	6907.23	7052.4	7197.57	7342.74	7487.91	7633.08	7778.25	7923.42	8068.59	8213.76
30211	6246	2511	1	6	0	0	[117000]	0.0	1	1	0.0	0.0	411.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.83	88.29	150.75	213.21	275.67	338.13	400.59	463.05	525.51	587.97	650.43	712.89	775.35	837.81	900.27	962.73	1025.19	1087.65	1150.11	1212.57	1275.03	1337.49	1399.95	1462.41	1524.87	1587.33	1649.79	1712.25	1774.71	1837.17	1899.63	1962.09	2024.55	2087.01	2149.47	2211.93	2274.39	2336.85	2399.31	2461.77	2524.23	2586.69	2649.15	2711.61	2774.07	2836.53	2898.99	2961.45	3023.91	3086.37	3148.83	3211.29	3273.75
30212	84060	18837	1	5	3	14	[117000]	0.72903603196	7	2	784908.0	57463.02	1629.9	0.0	0.0	1433.61	3225.6	5017.59	6809.58	8601.57	10507.5	14595.885	19602.72	27496.665	36143.46	44790.255	53437.05	62083.845	70730.64	79377.435	88024.23	96671.025	105317.82	113964.615	122611.41	131258.205	139905.0	148551.795	157198.59	165845.385	174492.18	183138.975	191785.77	200432.565	209079.36	217726.155	226372.95	235019.745	243666.54	252313.335	260960.13	269606.925	278253.72	286900.515	295547.31	304194.105	312840.9	321487.695	330134.49	338781.285	347428.08	356074.875	364721.67	373368.465	382015.26	390662.055	399308.85	407955.645	416602.44	425249.235	433896.03	442542.825	451189.62
30217	13347	2511	1	12	0	0	[117000]	0.0	1	1	0.0	0.0	342.54	0.0	0.0	0.0	57.87	191.34	324.81	458.28	591.75	725.22	858.69	992.16	1125.63	1259.1	1392.57	1526.04	1659.51	1792.98	1926.45	2059.92	2193.39	2326.86	2460.33	2593.8	2727.27	2860.74	2994.21	3127.68	3261.15	3394.62	3528.09	3661.56	3795.03	3928.5	4061.97	4195.44	4328.91	4462.38	4595.85	4729.32	4862.79	4996.26	5129.73	5263.2	5396.67	5530.14	5663.61	5797.08	5930.55	6064.02	6197.49	6330.96	6464.43	6597.9	6731.37	6864.84	6998.31	7131.78	7265.25	7398.72	7532.19
117041	59418	6435	1	2	1	1	[117000]	0.00486423584174	1	1	34803.0	169.29	628.74	0.0	144.18	1086.39	2028.6	2970.81	3913.02	4855.23	5797.44	6739.65	7681.86	8624.07	9566.28	10508.49	11450.7	12392.91	13335.12	14277.33	15219.54	16161.75	17103.96	18046.17	18988.38	19930.59	20872.8	21815.01	22757.22	23699.43	24641.64	25583.85	26526.06	27468.27	28410.48	29352.69	30294.9	31237.11	32179.32	33121.53	34063.74	35005.95	35948.16	36890.37	37832.58	38774.79	39717.0	40659.21	41601.42	42543.63	43485.84	44428.05	45370.26	46312.47	47254.68	48196.89	49139.1	50081.31	51023.52	51965.73	52907.94	53850.15	54792.36
117262	108378	41760	1	3	1	1	[117000]	0.0956361750168	1	1	294966.0	28209.42	16226.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3965.85	7999.29	12032.73	16066.17	20099.61	24133.05	28166.49	32199.93	36233.37	40266.81	44300.25	48333.69	52367.13	56400.57	60434.01	64467.45	68500.89	72534.33	76567.77	80601.21	84634.65	88668.09	92701.53	96734.97	100768.41	104801.85	108835.29	112868.73	116902.17	120935.61	124969.05	129002.49	133035.93	137069.37	141102.81	145136.25	149169.69	153203.13	157236.57	161270.01	165303.45	169336.89	173370.33	177403.77	181437.21	185470.65	189504.09	193537.53
30381	144117	16362	1	11	0	0	[117000]	0.0	1	1	0.0	0.0	4250.07	0.0	0.0	0.0	73.44	1514.61	2955.78	4396.95	5838.12	7279.29	8720.46	10161.63	11602.8	13043.97	14485.14	15926.31	17367.48	18808.65	20249.82	21690.99	23132.16	24573.33	26014.5	27455.67	28896.84	30338.01	31779.18	33220.35	34661.52	36102.69	37543.86	38985.03	40426.2	41867.37	43308.54	44749.71	46190.88	47632.05	49073.22	50514.39	51955.56	53396.73	54837.9	56279.07	57720.24	59161.41	60602.58	62043.75	63484.92	64926.09	66367.26	67808.43	69249.6	70690.77	72131.94	73573.11	75014.28	76455.45	77896.62	79337.79	80778.96
30225	60210	11637	1	5	2	3	[117000]	0.141348277496	2	2	145089.0	9063.72	1039.77	0.0	43.11	1438.47	2833.83	4229.19	5624.55	7019.91	8415.27	9810.63	11205.99	12601.35	13996.71	15392.07	16787.43	18638.37	20691.36	22744.35	24797.34	26850.33	28903.32	30956.31	33009.3	35062.29	37115.28	39168.27	41221.26	43274.25	45327.24	47380.23	49433.22	51486.21	53539.2	55592.19	57645.18	59698.17	61751.16	63804.15	65857.14	67910.13	69963.12	72016.11	74069.1	76122.09	78175.08	80228.07	82281.06	84334.05	86387.04	88440.03	90493.02	92546.01	94599.0	96651.99	98704.98	100757.97	102810.96	104863.95	106916.94	108969.93	111022.92
30231	153954	7713	1	4	3	21	[117000]	0.944086523212	10	2	1127160.0	70157.16	446.67	0.0	1135.98	5601.6	10857.42	16113.24	21369.06	26624.88	31994.64	39546.855	48017.52	59375.295	71485.92	83596.545	95707.17	108273.375	121041.63	133809.885	146578.14	159346.395	172114.65	184882.905	197651.16	210419.415	223187.67	235955.925	248724.18	261492.435	274260.69	287028.945	299797.2	312565.455	325333.71	338101.965	350870.22	363638.475	376406.73	389174.985	401943.24	414711.495	427479.75	440248.005	453016.26	465784.515	478552.77	491321.025	504089.28	516857.535	529625.79	542394.045	555162.3	567930.555	580698.81	593467.065	606235.32	619003.575	631771.83	644540.085	657308.34	670076.595	682844.85
30232	45999	2061	1	6	1	1	[117000]	0.00538212260329	1	1	33327.0	179.37	133.11	0.0	480.78	1274.04	2067.3	2860.56	3653.82	4447.08	5240.34	6033.6	6826.86	7620.12	8413.38	9206.64	9999.9	10793.16	11586.42	12379.68	13172.94	13966.2	14759.46	15552.72	16345.98	17139.24	17932.5	18725.76	19519.02	20312.28	21105.54	21898.8	22692.06	23485.32	24278.58	25071.84	25865.1	26658.36	27451.62	28244.88	29038.14	29831.4	30624.66	31417.92	32211.18	33004.44	33797.7	34590.96	35384.22	36177.48	36970.74	37764.0	38557.26	39350.52	40143.78	40937.04	41730.3	42523.56	43316.82	44110.08	44903.34	45696.6	46489.86
