DepressionID	Ac	Am	Nds	Ndsds	Nus	Nuscd	OutletID	Sdus	Shrn	Strn	USAc	USVm	Vm	p0.001	p0.01	p0.02	p0.03	p0.04	p0.05	p0.06	p0.07	p0.08	p0.09	p0.1	p0.11	p0.12	p0.13	p0.14	p0.15	p0.16	p0.17	p0.18	p0.19	p0.2	p0.21	p0.22	p0.23	p0.24	p0.25	p0.26	p0.27	p0.28	p0.29	p0.3	p0.31	p0.32	p0.33	p0.34	p0.35	p0.36	p0.37	p0.38	p0.39	p0.4	p0.41	p0.42	p0.43	p0.44	p0.45	p0.46	p0.47	p0.48	p0.49	p0.5	p0.51	p0.52	p0.53	p0.54	p0.55	p0.56	p0.57	p0.58	p0.59
30209	14517	2898	1	5	0	0	[117000]	0.0	1	1	0.0	0.0	351.27	14.517	145.17	290.34	435.51	580.68	725.85	871.02	1016.19	1161.36	1306.53	1451.7	1596.87	1742.04	1887.21	2032.38	2177.55	2322.72	2467.89	2613.06	2758.23	2903.4	3048.57	3193.74	3338.91	3484.08	3629.25	3774.42	3919.59	4064.76	4209.93	4355.1	4500.27	4645.44	4790.61	4935.78	5080.95	5226.12	5371.29	5516.46	5661.63	5806.8	5951.97	6097.14	6242.31	6387.48	6532.65	6677.82	6822.99	6968.16	7113.33	7258.5	7403.67	7548.84	7694.01	7839.18	7984.35	8129.52	8274.69	8419.86	8565.03
30211	6246	2511	1	6	0	0	[117000]	0.0	1	1	0.0	0.0	411.39	6.246	62.46	124.92	187.38	249.84	312.3	374.76	437.22	499.68	562.14	624.6	687.06	749.52	811.98	874.44	936.9	999.36	1061.82	1124.28	1186.74	1249.2	1311.66	1374.12	1436.58	1499.04	1561.5	1623.96	1686.42	1748.88	1811.34	1873.8	1936.26	1998.72	2061.18	2123.64	2186.1	2248.56	2311.02	2373.48	2435.94	2498.4	2560.86	2623.32	2685.78	2748.24	2810.7	2873.16	2935.62	2998.08	3060.54	3123.0	3185.46	3247.92	3310.38	3372.84	3435.3	3497.76	3560.22	3622.68	3685.14
30212	84060	18837	1	5	3	14	[117000]	0.72903603196	7	2	784908.0	57463.02	1629.9	84.06	840.6	1681.2	2521.8	3362.4	4203.0	5043.6	5884.2	6724.8	7565.4	8406.0	9246.6	10087.2	10927.8	11768.4	12609.0	13449.6	14290.2	15130.8	15971.4	16812.0	17652.6	18493.2	19333.8	20174.4	21015.0	21855.6	22696.2	23536.8	24377.4	25218.0	26058.6	26899.2	27739.8	28580.4	29421.0	30261.6	31102.2	31942.8	32783.4	33624.0	34464.6	35305.2	36145.8	36986.4	37827.0	38667.6	39508.2	40348.8	41189.4	42030.0	42870.6	43711.2	44551.8	45392.4	46233.0	47073.6	47914.2	48754.8	49595.4
30217	13347	2511	1	12	0	0	[117000]	0.0	1	1	0.0	0.0	342.54	13.347	133.47	266.94	400.41	533.88	667.35	800.82	934.29	1067.76	1201.23	1334.7	1468.17	1601.64	1735.11	1868.58	2002.05	2135.52	2268.99	2402.46	2535.93	2669.4	2802.87	2936.34	3069.81	3203.28	3336.75	3470.22	3603.69	3737.16	3870.63	4004.1	4137.57	4271.04	4404.51	4537.98	4671.45	4804.92	4938.39	5071.86	5205.33	5338.8	5472.27	5605.74	5739.21	5872.68	6006.15	6139.62	6273.09	6406.56	6540.03	6673.5	6806.97	6940.44	7073.91	7207.38	7340.85	7474.32	7607.79	7741.26	7874.73
117041	59418	6435	1	2	1	1	[117000]	0.00486423584174	1	1	34803.0	169.29	628.74	59.418	594.18	1188.36	1782.54	2376.72	2970.9	3565.08	4159.26	4753.44	5347.62	5941.8	6535.98	7130.16	7724.34	8318.52	8912.7	9506.88	10101.06	10695.24	11289.42	11883.6	12477.78	13071.96	13666.14	14260.32	14854.5	15448.68	16042.86	16637.04	17231.22	17825.4	18419.58	19013.76	19607.94	20202.12	20796.3	21390.48	21984.66	22578.84	23173.02	23767.2	24361.38	24955.56	25549.74	26143.92	26738.1	27332.28	27926.46	28520.64	29114.82	29709.0	30303.18	30897.36	31491.54	32085.72	32679.9	33274.08	33868.26	34462.44	35056.62
117262	108378	41760	1	3	1	1	[117000]	0.0956361750168	1	1	294966.0	28209.42	16226.01	108.378	1083.78	2167.56	3251.34	4335.12	5418.9	6502.68	7586.46	8670.24	9754.02	10837.8	11921.58	13005.36	14089.14	15172.92	16256.7	17340.48	18424.26	19508.04	20591.82	21675.6	22759.38	23843.16	24926.94	26010.72	27094.5	28178.28	29262.06	30345.84	31429.62	32513.4	33597.18	34680.96	35764.74	36848.52	37932.3	39016.08	40099.86	41183.64	42267.42	43351.2	44434.98	45518.76	46602.54	47686.32	48770.1	49853.88	50937.66	52021.44	53105.22	54189.0	55272.78	56356.56	57440.34	58524.12	59607.9	60691.68	61775.46	62859.24	63943.02
30381	144117	16362	1	11	0	0	[117000]	0.0	1	1	0.0	0.0	4250.07	144.117	1441.17	2882.34	4323.51	5764.68	7205.85	8647.02	10088.19	11529.36	12970.53	14411.7	15852.87	17294.04	18735.21	20176.38	21617.55	23058.72	24499.89	25941.06	27382.23	28823.4	30264.57	31705.74	33146.91	34588.08	36029.25	37470.42	38911.59	40352.76	41793.93	43235.1	44676.27	46117.44	47558.61	48999.78	50440.95	51882.12	53323.29	54764.46	56205.63	57646.8	59087.97	60529.14	61970.31	63411.48	64852.65	66293.82	67734.99	69176.16	70617.33	72058.5	73499.67	74940.84	76382.01	77823.18	79264.35	80705.52	82146.69	83587.86	85029.03
30225	60210	11637	1	5	2	3	[117000]	0.141348277496	2	2	145089.0	9063.72	1039.77	60.21	602.1	1204.2	1806.3	2408.4	3010.5	3612.6	4214.7	4816.8	5418.9	6021.0	6623.1	7225.2	7827.3	8429.4	9031.5	9633.6	10235.7	10837.8	11439.9	12042.0	12644.1	13246.2	13848.3	14450.4	15052.5	15654.6	16256.7	16858.8	17460.9	18063.0	18665.1	19267.2	19869.3	20471.4	21073.5	21675.6	22277.7	22879.8	23481.9	24084.0	24686.1	25288.2	25890.3	26492.4	27094.5	27696.6	28298.7	28900.8	29502.9	30105.0	30707.1	31309.2	31911.3	32513.4	33115.5	33717.6	34319.7	34921.8	35523.9
30231	153954	7713	1	4	3	21	[117000]	0.944086523212	10	2	1127160.0	70157.16	446.67	153.954	1539.54	3079.08	4618.62	6158.16	7697.7	9237.24	10776.78	12316.32	13855.86	15395.4	16934.94	18474.48	20014.02	21553.56	23093.1	24632.64	26172.18	27711.72	29251.26	30790.8	32330.34	33869.88	35409.42	36948.96	38488.5	40028.04	41567.58	43107.12	44646.66	46186.2	47725.74	49265.28	50804.82	52344.36	53883.9	55423.44	56962.98	58502.52	60042.06	61581.6	63121.14	64660.68	66200.22	67739.76	69279.3	70818.84	72358.38	73897.92	75437.46	76977.0	78516.54	80056.08	81595.62	83135.16	84674.7	86214.24	87753.78	89293.32	90832.86
30232	45999	2061	1	6	1	1	[117000]	0.00538212260329	1	1	33327.0	179.37	133.11	45.999	459.99	919.98	1379.97	1839.96	2299.95	2759.94	3219.93	3679.92	4139.91	4599.9	5059.89	5519.88	5979.87	6439.86	6899.85	7359.84	7819.83	8279.82	8739.81	9199.8	9659.79	10119.78	10579.77	11039.76	11499.75	11959.74	12419.73	12879.72	13339.71	13799.7	14259.69	14719.68	15179.67	15639.66	16099.65	16559.64	17019.63	17479.62	17939.61	18399.6	18859.59	19319.58	19779.57	20239.56	20699.55	21159.54	21619.53	22079.52	22539.51	22999.5	23459.49	23919.48	24379.47	24839.46	25299.45	25759.44	26219.43	26679.42	27139.41
30238	19530	3987	1	5	1	1	[117000]	0.0171540329107	1	1	33363.0	572.31	388.44	19.53	195.3	390.6	585.9	781.2	976.5	1171.8	1367.1	1562.4	1757.7	1953.0	2148.3	2343.6	2538.9	2734.2	2929.5	3124.8	3320.1	3515.4	3710.7	3906.0	4101.3	4296.6	4491.9	4687.2	4882.5	5077.8	5273.1	5468.4	5663.7	5859.0	6054.3	6249.6	6444.9	6640.2	6835.5	7030.8	7226.1	7421.4	7616.7	7812.0	8007.3	8202.6	8397.9	8593.2	8788.5	8983.8	9179.1	9374.4	9569.7	9765.0	9960.3	10155.6	10350.9	10546.2	10741.5	10936.8	11132.1	11327.4	11522.7
30531	134352	16308	1	16	0	0	[117000]	0.0	1	1	0.0	0.0	3446.64	134.352	1343.52	2687.04	4030.56	5374.08	6717.6	8061.12	9404.64	10748.16	12091.68	13435.2	14778.72	16122.24	17465.76	18809.28	20152.8	21496.32	22839.84	24183.36	25526.88	26870.4	28213.92	29557.44	30900.96	32244.48	33588.0	34931.52	36275.04	37618.56	38962.08	40305.6	41649.12	42992.64	44336.16	45679.68	47023.2	48366.72	49710.24	51053.76	52397.28	53740.8	55084.32	56427.84	57771.36	59114.88	60458.4	61801.92	63145.44	64488.96	65832.48	67176.0	68519.52	69863.04	71206.56	72550.08	73893.6	75237.12	76580.64	77924.16	79267.68
