	Ar	CasTime	FAr	FQr	Ff	Fr	Fs	Fv	Nf	Nhw	Niso	Nms	Nout	Nr	P	Qr	Qt	RecTime	SolTime	TotTime	Vs
0	0.0	0.0	0.0	0.0	0.00446428571429	0.0	1.0	0.00765175854886	1	0	0	0	0	0	0.001	0.0	25804.818	0.0310001373291	0.00300002098083	0.0350000858307	25804.818
1	0.0	0.000999927520752	0.0	0.0	0.205357142857	0.0	1.0	0.0765175854886	46	0	0	0	0	0	0.01	0.0	258048.18	0.0300002098083	0.00699996948242	0.0380001068115	258048.18
2	0.0	0.0	0.0	0.0	0.419642857143	0.0	1.0	0.153035170977	94	0	0	0	0	0	0.02	0.0	516096.36	0.0309998989105	0.00499987602234	0.0369999408722	516096.36
3	0.0	0.000999927520752	0.0	0.0	0.553571428571	0.0	1.0	0.229552756466	124	0	0	0	0	0	0.03	0.0	774144.54	0.029000043869	0.00400018692017	0.0340001583099	774144.54
4	0.0	0.00100016593933	0.0	0.0	0.642857142857	0.0	1.0	0.306070341955	144	0	0	0	0	0	0.04	0.0	1032192.72	0.0429999828339	0.00399994850159	0.0490000247955	1032192.72
5	610749.0	0.0	0.023668021995	0.000230677852485	0.691964285714	0.0267857142857	0.999769322148	0.382499672882	155	2	0	3	1	6	0.05	297.63	1290240.9	0.0309998989105	0.00600004196167	0.0369999408722	1289943.27
6	610749.0	0.0	0.023668021995	0.00413690187623	0.75	0.0267857142857	0.995863098124	0.457206238474	168	2	0	3	1	6	0.06	6405.12	1548289.08	0.0300002098083	0.00399994850159	0.0340001583099	1541883.96
7	610749.0	0.0	0.023668021995	0.00692706189319	0.78125	0.0267857142857	0.993072938107	0.531912804066	175	2	0	3	1	6	0.07	12512.61	1806337.26	0.0299999713898	0.00399994850159	0.0349998474121	1793824.65
8	11350854.0	0.0019998550415	0.439873437588	0.046901255998	0.825892857143	0.495535714286	0.953098744002	0.583430516986	185	56	0	54	1	111	0.08	96822.27	2064385.44	0.0310001373291	0.00699996948242	0.039999961853	1967563.17
9	11486133.0	0.00100016593933	0.445115830695	0.0908837644195	0.84375	0.504464285714	0.909116235581	0.626070413476	189	57	0	55	1	113	0.09	211071.51	2322433.62	0.0319998264313	0.00499987602234	0.0379998683929	2111362.11
10	12393378.0	0.0	0.480273800032	0.127563701476	0.883928571429	0.558035714286	0.872436298524	0.667567190557	198	62	0	62	1	125	0.1	329175.81	2580481.8	0.0339999198914	0.00400018692017	0.0380001068115	2251305.99
11	14394303.0	0.000999927520752	0.557814552306	0.16158825985	0.924107142857	0.638392857143	0.83841174015	0.705685662018	207	72	0	70	1	143	0.11	458673.12	2838529.98	0.0329999923706	0.00699996948242	0.0420000553131	2379856.86
12	14878962.0	0.0	0.576596277486	0.195902398924	0.9375	0.65625	0.804097601076	0.738331283178	210	74	0	72	1	147	0.12	606627.09	3096578.16	0.0349998474121	0.00300002098083	0.0390000343323	2489951.07
13	15122637.0	0.00200009346008	0.586039281502	0.225525469403	0.941964285714	0.660714285714	0.774474530597	0.770391974348	211	75	0	72	1	148	0.13	756553.68	3354626.34	0.0320000648499	0.00599980354309	0.039999961853	2598072.66
14	15188400.0	0.0	0.588587759077	0.251065311857	0.950892857143	0.665178571429	0.748934688143	0.802293436356	213	76	0	72	1	149	0.14	907017.255	3612674.52	0.0299999713898	0.00500011444092	0.0350000858307	2705657.265
15	20986533.0	0.00100016593933	0.813279636384	0.280172563124	0.955357142857	0.830357142857	0.719827436876	0.826191861574	214	99	0	86	1	186	0.15	1084470.3	3870722.7	0.0299999713898	0.00499987602234	0.0360000133514	2786252.4
16	21007980.0	0.0	0.814110760246	0.313227069893	0.959821428571	0.834821428571	0.686772930107	0.840803302252	215	100	0	86	1	187	0.16	1293242.805	4128770.88	0.0309998989105	0.00800013542175	0.039999961853	2835528.075
17	21007980.0	0.0	0.814110760246	0.342413080972	0.964285714286	0.834821428571	0.657586919028	0.85538837598	216	100	0	86	1	187	0.17	1502104.23	4386819.06	0.0320000648499	0.00399994850159	0.0369999408722	2884714.83
18	21007980.0	0.00100016593933	0.814110760246	0.368356201931	0.964285714286	0.834821428571	0.631643798069	0.869973449708	216	100	0	86	1	187	0.18	1710965.655	4644867.24	0.0309998989105	0.00300002098083	0.0360000133514	2933901.585
19	21007980.0	0.0019998550415	0.814110760246	0.391568468052	0.964285714286	0.834821428571	0.608431531948	0.884558523436	216	100	0	86	1	187	0.19	1919827.08	4902915.42	0.0299999713898	0.00400018692017	0.0360000133514	2983088.34
20	22021947.0	0.00200009346008	0.853404468886	0.412696594101	0.973214285714	0.879464285714	0.587303405899	0.898780771373	218	104	0	92	1	197	0.2	2129912.1	5160963.6	0.0309998989105	0.00699996948242	0.0409998893738	3031051.5
21	22021947.0	0.000999927520752	0.853404468886	0.433682683377	0.973214285714	0.879464285714	0.566317316623	0.909997907457	218	104	0	92	1	197	0.21	2350131.57	5419011.78	0.0439999103546	0.00400018692017	0.0490000247955	3068880.21
22	22021947.0	0.0	0.853404468886	0.452760946354	0.973214285714	0.879464285714	0.547239053646	0.921215043541	218	104	0	92	1	197	0.22	2570351.04	5677059.96	0.0350000858307	0.00300002098083	0.0390000343323	3106708.92
23	22569057.0	0.00200009346008	0.874606323517	0.470739084124	0.982142857143	0.90625	0.529260915876	0.931448649656	220	108	0	94	1	203	0.23	2793887.37	5935108.14	0.0329999923706	0.00699996948242	0.0420000553131	3141220.77
24	22569057.0	0.00300002098083	0.874606323517	0.487566885765	0.982142857143	0.90625	0.512433114235	0.941043471016	220	108	0	94	1	203	0.24	3019577.94	6193156.32	0.0429999828339	0.00499987602234	0.050999879837	3173578.38
25	22569057.0	0.0019998550415	0.874606323517	0.503048463275	0.982142857143	0.90625	0.496951536725	0.950638292376	220	108	0	94	1	203	0.25	3245268.51	6451204.5	0.0390000343323	0.00499987602234	0.0469999313354	3205935.99
26	22569057.0	0.0019998550415	0.874606323517	0.517339150208	0.982142857143	0.90625	0.482660849792	0.960233113736	220	108	0	94	1	203	0.26	3470959.08	6709252.68	0.0410001277924	0.00500011444092	0.0480000972748	3238293.6
27	22569057.0	0.00200009346008	0.874606323517	0.530571267738	0.982142857143	0.90625	0.469428732262	0.969827935096	220	108	0	94	1	203	0.27	3696649.65	6967300.86	0.0329999923706	0.00500011444092	0.0410001277924	3270651.21
28	22569057.0	0.000999927520752	0.874606323517	0.542858234016	0.982142857143	0.90625	0.457141765984	0.979422756456	220	108	0	94	1	203	0.28	3922340.22	7225349.04	0.0320000648499	0.00699996948242	0.039999961853	3303008.82
29	22569057.0	0.000999927520752	0.874606323517	0.554297823309	0.982142857143	0.90625	0.445702176691	0.989017577816	220	108	0	94	1	203	0.29	4148030.79	7483397.22	0.0380001068115	0.00500011444092	0.0440001487732	3335366.43
