DepressionID	Ac	Am	Nds	Ndsds	Nus	Nuscd	OutletID	Sdus	Shrn	Strn	USAc	USVm	Vm	p0.001	p0.01	p0.02	p0.03	p0.04	p0.05	p0.06	p0.07	p0.08	p0.09	p0.1	p0.11	p0.12	p0.13	p0.14	p0.15	p0.16	p0.17	p0.18	p0.19	p0.2	p0.21	p0.22	p0.23	p0.24	p0.25	p0.26	p0.27	p0.28	p0.29	p0.3	p0.31	p0.32	p0.33	p0.34	p0.35	p0.36	p0.37	p0.38	p0.39	p0.4	p0.41	p0.42	p0.43	p0.44	p0.45	p0.46	p0.47	p0.48	p0.49	p0.5	p0.51	p0.52	p0.53	p0.54	p0.55	p0.56	p0.57	p0.58	p0.59
30209	14517	2898	1	5	0	0	[117000]	0.0	1	1	0.0	0.0	351.27	14.517	145.17	290.34	435.51	580.68	725.85	871.02	1016.19	1161.36	1306.53	1451.7	1596.87	1742.04	1887.21	2032.38	2177.55	2322.72	2467.89	2613.06	2758.23	2903.4	3048.57	3193.74	3338.91	3484.08	3629.25	3774.42	3919.59	4064.76	4209.93	4355.1	4500.27	4645.44	4790.61	4935.78	5080.95	5226.12	5371.29	5516.46	5661.63	5806.8	5951.97	6097.14	6242.31	6387.48	6532.65	6677.82	6822.99	6968.16	7113.33	7258.5	7403.67	7548.84	7694.01	7839.18	7984.35	8129.52	8274.69	8419.86	8565.03
30211	6246	2511	1	6	0	0	[117000]	0.0	1	1	0.0	0.0	411.39	6.246	62.46	124.92	187.38	249.84	312.3	374.76	437.22	499.68	562.14	624.6	687.06	749.52	811.98	874.44	936.9	999.36	1061.82	1124.28	1186.74	1249.2	1311.66	1374.12	1436.58	1499.04	1561.5	1623.96	1686.42	1748.88	1811.34	1873.8	1936.26	1998.72	2061.18	2123.64	2186.1	2248.56	2311.02	2373.48	2435.94	2498.4	2560.86	2623.32	2685.78	2748.24	2810.7	2873.16	2935.62	2998.08	3060.54	3123.0	3185.46	3247.92	3310.38	3372.84	3435.3	3497.76	3560.22	3622.68	3685.14
30212	84060	18837	1	5	3	14	[117000]	0.72903603196	7	2	784908.0	57463.02	1629.9	0.0	430.92	1382.31	2333.7	3285.09	4236.48	5187.87	6253.2	9500.985	13667.22	20720.565	28526.76	36332.955	44139.15	51945.345	59751.54	67557.735	75363.93	83170.125	90976.32	98782.515	106588.71	114394.905	122201.1	130007.295	137813.49	145619.685	153425.88	161232.075	169038.27	176844.465	184650.66	192456.855	200263.05	208069.245	215875.44	223681.635	231487.83	239294.025	247100.22	254906.415	262712.61	270518.805	278325.0	286131.195	293937.39	301743.585	309549.78	317355.975	325162.17	332968.365	340774.56	348580.755	356386.95	364193.145	371999.34	379805.535	387611.73	395417.925	403224.12
30217	13347	2511	1	12	0	0	[117000]	0.0	1	1	0.0	0.0	342.54	13.347	133.47	266.94	400.41	533.88	667.35	800.82	934.29	1067.76	1201.23	1334.7	1468.17	1601.64	1735.11	1868.58	2002.05	2135.52	2268.99	2402.46	2535.93	2669.4	2802.87	2936.34	3069.81	3203.28	3336.75	3470.22	3603.69	3737.16	3870.63	4004.1	4137.57	4271.04	4404.51	4537.98	4671.45	4804.92	4938.39	5071.86	5205.33	5338.8	5472.27	5605.74	5739.21	5872.68	6006.15	6139.62	6273.09	6406.56	6540.03	6673.5	6806.97	6940.44	7073.91	7207.38	7340.85	7474.32	7607.79	7741.26	7874.73
117041	59418	6435	1	2	1	1	[117000]	0.00486423584174	1	1	34803.0	169.29	628.74	0.0	178.74	526.77	874.8	1222.83	1570.86	1918.89	2266.92	2614.95	2962.98	3311.01	3659.04	4007.07	4355.1	4703.13	5051.16	5399.19	5747.22	6095.25	6443.28	6791.31	7139.34	7487.37	7835.4	8183.43	8531.46	8879.49	9227.52	9575.55	9923.58	10271.61	10619.64	10967.67	11315.7	11663.73	12011.76	12359.79	12707.82	13055.85	13403.88	13751.91	14099.94	14447.97	14796.0	15144.03	15492.06	15840.09	16188.12	16536.15	16884.18	17232.21	17580.24	17928.27	18276.3	18624.33	18972.36	19320.39	19668.42	20016.45	20364.48
117262	108378	41760	1	3	1	1	[117000]	0.0956361750168	1	1	294966.0	28209.42	16226.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1287.18	4236.84	7186.5	10136.16	13085.82	16035.48	18985.14	21934.8	24884.46	27834.12	30783.78	33733.44	36683.1	39632.76	42582.42	45532.08	48481.74	51431.4	54381.06	57330.72	60280.38	63230.04	66179.7	69129.36	72079.02	75028.68	77978.34	80928.0	83877.66	86827.32	89776.98	92726.64	95676.3	98625.96	101575.62	104525.28	107474.94	110424.6	113374.26	116323.92	119273.58	122223.24	125172.9	128122.56	131072.22	134021.88	136971.54	139921.2	142870.86	145820.52
30381	144117	16362	1	11	0	0	[117000]	0.0	1	1	0.0	0.0	4250.07	144.117	1441.17	2882.34	4323.51	5764.68	7205.85	8647.02	10088.19	11529.36	12970.53	14411.7	15852.87	17294.04	18735.21	20176.38	21617.55	23058.72	24499.89	25941.06	27382.23	28823.4	30264.57	31705.74	33146.91	34588.08	36029.25	37470.42	38911.59	40352.76	41793.93	43235.1	44676.27	46117.44	47558.61	48999.78	50440.95	51882.12	53323.29	54764.46	56205.63	57646.8	59087.97	60529.14	61970.31	63411.48	64852.65	66293.82	67734.99	69176.16	70617.33	72058.5	73499.67	74940.84	76382.01	77823.18	79264.35	80705.52	82146.69	83587.86	85029.03
30225	60210	11637	1	5	2	3	[117000]	0.141348277496	2	2	145089.0	9063.72	1039.77	0.0	480.78	1274.04	2067.3	2860.56	3653.82	4447.08	5240.34	6033.6	6826.86	7620.12	8413.38	9206.64	9999.9	11248.74	12699.63	14150.52	15601.41	17052.3	18503.19	19954.08	21404.97	22855.86	24306.75	25757.64	27208.53	28659.42	30110.31	31561.2	33012.09	34462.98	35913.87	37364.76	38815.65	40266.54	41717.43	43168.32	44619.21	46070.1	47520.99	48971.88	50422.77	51873.66	53324.55	54775.44	56226.33	57677.22	59128.11	60579.0	62029.89	63480.78	64931.67	66382.56	67833.45	69284.34	70735.23	72186.12	73637.01	75087.9	76538.79
30231	153954	7713	1	4	3	21	[117000]	0.944086523212	10	2	1127160.0	70157.16	446.67	0.0	43.11	2969.19	6685.47	10401.75	14118.03	17834.31	21664.53	27677.205	34608.33	44426.565	54997.65	65568.735	76139.82	87166.485	98395.2	109623.915	120852.63	132081.345	143310.06	154538.775	165767.49	176996.205	188224.92	199453.635	210682.35	221911.065	233139.78	244368.495	255597.21	266825.925	278054.64	289283.355	300512.07	311740.785	322969.5	334198.215	345426.93	356655.645	367884.36	379113.075	390341.79	401570.505	412799.22	424027.935	435256.65	446485.365	457714.08	468942.795	480171.51	491400.225	502628.94	513857.655	525086.37	536315.085	547543.8	558772.515	570001.23	581229.945	592458.66
30232	45999	2061	1	6	1	1	[117000]	0.00538212260329	1	1	33327.0	179.37	133.11	0.0	153.9	487.17	820.44	1153.71	1486.98	1820.25	2153.52	2486.79	2820.06	3153.33	3486.6	3819.87	4153.14	4486.41	4819.68	5152.95	5486.22	5819.49	6152.76	6486.03	6819.3	7152.57	7485.84	7819.11	8152.38	8485.65	8818.92	9152.19	9485.46	9818.73	10152.0	10485.27	10818.54	11151.81	11485.08	11818.35	12151.62	12484.89	12818.16	13151.43	13484.7	13817.97	14151.24	14484.51	14817.78	15151.05	15484.32	15817.59	16150.86	16484.13	16817.4	17150.67	17483.94	17817.21	18150.48	18483.75	18817.02	19150.29	19483.56
30238	19530	3987	1	5	1	1	[117000]	0.0171540329107	1	1	33363.0	572.31	388.44	0.0	0.0	94.95	428.58	762.21	1095.84	1429.47	1763.1	2096.73	2430.36	2763.99	3097.62	3431.25	3764.88	4098.51	4432.14	4765.77	5099.4	5433.03	5766.66	6100.29	6433.92	6767.55	7101.18	7434.81	7768.44	8102.07	8435.7	8769.33	9102.96	9436.59	9770.22	10103.85	10437.48	10771.11	11104.74	11438.37	11772.0	12105.63	12439.26	12772.89	13106.52	13440.15	13773.78	14107.41	14441.04	14774.67	15108.3	15441.93	15775.56	16109.19	16442.82	16776.45	17110.08	17443.71	17777.34	18110.97	18444.6	18778.23	19111.86
30531	134352	16308	1	16	0	0	[117000]	0.0	1	1	0.0	0.0	3446.64	134.352	1343.52	2687.04	4030.56	5374.08	6717.6	8061.12	9404.64	10748.16	12091.68	13435.2	14778.72	16122.24	17465.76	18809.28	20152.8	21496.32	22839.84	24183.36	25526.88	26870.4	28213.92	29557.44	30900.96	32244.48	33588.0	34931.52	36275.04	37618.56	38962.08	40305.6	41649.12	42992.64	44336.16	45679.68	47023.2	48366.72	49710.24	51053.76	52397.28	53740.8	55084.32	56427.84	57771.36	59114.88	60458.4	61801.92	63145.44	64488.96	65832.48	67176.0	68519.52	69863.04	71206.56	72550.08	73893.6	75237.12	76580.64	77924.16	79267.68
